Time (s),X (g),Y (g),Z (g)
29.897213459,0.1499926,-0.0133701,-0.005823193
29.899695396,0.1360849,-0.0265634,0.04915375
29.902176380,0.1444699,0.02879484,-0.1785857
29.904658318,0.143247,0.08253226,-0.05916663
29.907140732,0.1332415,-0.1344015,0.07305869
29.909621716,0.1350664,0.1398329,-0.1132174
29.912103653,0.1407881,-0.05735115,0.03847275
29.914585590,0.1413628,-0.0159417,-0.1123629
29.917067051,0.1161851,0.06759994,-0.0713716
29.919548988,0.1670816,-0.1396699,0.03293902
29.922030926,0.1597424,0.08313525,-0.09730731
29.924512386,0.1472204,-0.06907446,-0.02732087
29.926994324,0.1099173,0.02881659,-0.07599055
29.929475784,0.1195344,0.04984101,0.08287498
29.931957722,0.1008559,-0.05486674,0.08782062
29.934439659,0.1038602,0.1118862,-0.1291739
29.936924458,0.1435411,-0.03048841,0.05079695
29.939408302,0.1075593,-0.0337427,-0.1302844
29.941884994,0.122852,0.1289285,-0.1444436
29.944366455,0.2027886,-0.1208425,0.2143918
29.946848392,0.09357885,0.06146742,-0.186013
29.949333191,0.1439891,0.1267707,-0.1689237
29.951817036,0.2309746,-0.1130801,0.2592375
29.954293728,0.1177109,0.03118972,-0.1981625
29.956774712,0.1516609,0.04639333,-0.2074942
29.959257126,0.244881,-0.070425,0.1669155
29.961739063,0.1523304,-0.02539348,-0.1078325
29.964220047,0.08713986,0.05739473,-0.2051256
29.966701984,0.2388526,-0.07638156,0.06974059
29.969184399,0.1650284,0.01148735,0.01637527
29.971665382,0.148187,-0.03904435,-0.1546552
29.974147320,0.1691618,0.01266545,0.03953259
29.976629257,0.1973931,-0.06523602,0.01777167
29.979110718,0.1508937,0.03206127,-0.1035945
29.981592655,0.2020477,-0.07519473,-0.03447868
29.984074593,0.1805615,0.00122194,-0.1329321
29.986556053,0.1970008,-0.001490265,-0.09958799
29.989040852,0.187904,-0.09101728,0.007274458
29.991519451,0.1746852,0.01385948,-0.01779524
29.994001389,0.2052651,-0.07096209,0.02896766
29.996483326,0.1783836,0.01568649,-0.07142353
29.998964787,0.1544232,-0.009378511,-0.07865647
30.001446724,0.2277086,-0.08480518,-0.08855874
30.003928661,0.1510997,0.06878641,-0.007819131
30.006410122,0.2246886,-0.108954,-0.02762999
30.008892059,0.1405356,0.06909768,-0.01462043
30.011373997,0.3033887,-0.09479905,-0.0425406
30.013855457,0.1609434,0.02042176,-0.04879294
30.016337395,0.2475588,-0.0187048,-0.02259527
30.018818378,0.1968139,-0.03393184,0.08131956
30.021300316,0.1728362,0.03360308,-0.04740228
30.023782730,0.2019779,-0.03921893,-0.04098334
30.026263714,0.1975765,0.01080187,-0.06702554
30.028745651,0.2310406,-0.05219103,-0.06083823
30.031227588,0.2258742,-0.01176369,-0.08879957
30.033709049,0.2284968,-0.0551862,-0.02410622
30.036190986,0.2261384,-0.03885132,-0.0445551
30.038672924,0.2447969,-0.03210717,0.004112381
30.041154384,0.2477847,-0.09905751,0.008894373
30.043636322,0.2371107,0.003221603,-0.0265504
30.046118259,0.2207553,-0.09767029,-0.00502293
30.048599720,0.1444952,0.03958637,-0.1411062
30.051081657,0.2040161,-0.1059918,-0.02959673
30.053565502,0.210312,-0.09731122,-0.01086814
30.056045055,0.2401985,-0.107964,0.02319177
30.058526993,0.2554661,-0.1766601,-0.006248157
30.061008453,0.2364744,-0.08119908,-0.04492486
30.063491821,0.2121082,-0.05858535,0.06396778
30.065976143,0.1824783,-0.03571191,0.01862454
30.068453789,0.1866708,-0.03593402,-0.004410593
30.070935726,0.1878389,-0.03874305,0.0587864
30.073421001,0.2098014,-0.08839111,-0.01782481
30.075899124,0.1714067,-0.03821392,0.03972511
30.078381061,0.2068028,-0.1084212,-0.06282964
30.080862045,0.1458071,-0.0006963555,0.04388471
30.083343982,0.214774,-0.09679783,0.1203496
30.085826397,0.1466531,0.003459305,-0.002525977
30.088308334,0.2218351,-0.08333697,0.02111235
30.090792656,0.202688,-0.09009424,-0.01695512
30.093271255,0.1062847,-0.04752551,-0.1286191
30.095752716,0.2179385,-0.0353862,0.03739874
30.098234653,0.2667274,-0.1266603,0.07658291
30.100716591,0.1496947,-0.1151827,-0.02079734
30.103198051,0.2324193,-0.107829,0.05873444
30.105679989,0.2267142,-0.05516048,0.01041769
30.110643387,0.193956,-0.1021821,0.005763792
30.113125324,0.2421457,-0.1030134,0.007057428
30.115606785,0.192713,-0.1108122,0.03655861
30.118088722,0.1592659,-0.1342138,0.01715862
30.120570659,0.2238301,-0.1191494,0.0208383
30.123052120,0.2496568,-0.07608446,0.1929954
30.125534057,0.2142456,-0.1787573,0.01683406
30.128015995,0.08399968,-0.04353829,-0.06061365
30.130497455,0.2795804,-0.1250025,0.09847699
30.132979393,0.3001217,-0.1906676,0.05426906
30.135461330,0.1154696,-0.1248097,-0.178781
30.137942314,0.2482166,-0.1724259,0.0549989
30.140424728,0.2462671,-0.0565053,0.1142256
30.142905712,0.2343281,-0.2226169,0.02769442
30.145387649,0.1675556,-0.1297183,-0.02935497
30.147870064,0.2672232,-0.1263281,0.06787446
30.150351047,0.2188878,-0.1616706,0.09342078
30.152832985,0.1254027,-0.157738,0.0576965
